location,region
Ice Cavern GS Push Block Room,Ice Cavern
Ice Cavern Blue Fire,Ice Cavern
Child Water Temple from Water Temple Lobby,Water Temple
Raise Water Level from Water Temple Lobby,Water Temple
Morpha,Water Temple
Water Temple Morpha Heart,Water Temple
Water Temple Highest Water Level Fairy Pot,Water Temple
Water Temple Clear from Water Temple Highest Water Level,Water Temple
Water Temple Map Chest,Water Temple
Water Temple Compass Chest,Water Temple
Water Temple Torches Chest,Water Temple
Water Temple Central Bow Target Chest,Water Temple
Water Temple GS Behind Gate,Water Temple
Water Temple GS Central Pillar,Water Temple
Water Temple Boss Key Chest,Water Temple
Water Temple GS Near Boss Key Chest,Water Temple
Water Temple North Basement Fairy Pot,Water Temple
Water Temple Cracked Wall Chest,Water Temple
Water Temple Dragon Chest,Water Temple
Water Temple Central Pillar Chest,Water Temple
Water Temple GS Falling Platform Room,Water Temple
Water Temple Longshot Chest,Water Temple
Water Temple River Chest,Water Temple
Water Temple GS River,Water Temple
Water Temple Dark Link Region Fairy Pot,Water Temple
Shadow Temple Map Chest,Shadow Temple
Shadow Temple Hover Boots Chest,Shadow Temple
Shadow Temple Beginning Nut Pot,Shadow Temple
Shadow Temple Compass Chest,Shadow Temple
Shadow Temple Early Silver Rupee Chest,Shadow Temple
Shadow Temple Invisible Blades Visible Chest,Shadow Temple
Shadow Temple Invisible Blades Invisible Chest,Shadow Temple
Shadow Temple Falling Spikes Lower Chest,Shadow Temple
Shadow Temple Falling Spikes Upper Chest,Shadow Temple
Shadow Temple Falling Spikes Switch Chest,Shadow Temple
Shadow Temple Invisible Spikes Chest,Shadow Temple
Shadow Temple Freestanding Key,Shadow Temple
Shadow Temple GS Like Like Room,Shadow Temple
Shadow Temple GS Falling Spikes Room,Shadow Temple
Shadow Temple GS Single Giant Pot,Shadow Temple
Shadow Temple Wind Hint Chest,Shadow Temple
Shadow Temple After Wind Enemy Chest,Shadow Temple
Shadow Temple After Wind Hidden Chest,Shadow Temple
Shadow Temple GS Near Ship,Shadow Temple
Shadow Temple Spike Walls Left Chest,Shadow Temple
Shadow Temple Boss Key Chest,Shadow Temple
Shadow Temple Invisible Floormaster Chest,Shadow Temple
Shadow Temple Bongo Bongo Heart,Shadow Temple
Bongo Bongo,Shadow Temple
Shadow Temple GS Triple Giant Pot,Shadow Temple
Gerudo Training Grounds Lobby Left Chest,Gerudo Training Grounds
Gerudo Training Grounds Lobby Right Chest,Gerudo Training Grounds
Gerudo Training Grounds Stalfos Chest,Gerudo Training Grounds
Gerudo Training Grounds Beamos Chest,Gerudo Training Grounds
Gerudo Training Grounds Lobby Wall Fairy,Gerudo Training Grounds
Gerudo Training Grounds Lobby Subrule 1,Gerudo Training Grounds
Gerudo Training Grounds Hidden Ceiling Chest,Gerudo Training Grounds
Gerudo Training Grounds Maze Path First Chest,Gerudo Training Grounds
Gerudo Training Grounds Maze Path Second Chest,Gerudo Training Grounds
Gerudo Training Grounds Maze Path Third Chest,Gerudo Training Grounds
Gerudo Training Grounds Maze Path Final Chest,Gerudo Training Grounds
Gerudo Training Grounds Maze Right Central Chest,Gerudo Training Grounds
Gerudo Training Grounds Maze Right Side Chest,Gerudo Training Grounds
Gerudo Training Grounds Freestanding Key,Gerudo Training Grounds
Gerudo Training Grounds Underwater Silver Rupee Chest,Gerudo Training Grounds
Gerudo Training Grounds Hammer Room Clear Chest,Gerudo Training Grounds
Gerudo Training Grounds Hammer Room Switch Chest,Gerudo Training Grounds
Gerudo Training Grounds Eye Statue Chest,Gerudo Training Grounds
Gerudo Training Grounds Near Scarecrow Chest,Gerudo Training Grounds
Gerudo Training Grounds Before Heavy Block Chest,Gerudo Training Grounds
Gerudo Training Grounds Heavy Block First Chest,Gerudo Training Grounds
Gerudo Training Grounds Heavy Block Second Chest,Gerudo Training Grounds
Gerudo Training Grounds Heavy Block Third Chest,Gerudo Training Grounds
Gerudo Training Grounds Heavy Block Fourth Chest,Gerudo Training Grounds
Spirit Temple Child Bridge Chest,Spirit Temple
Spirit Temple Child Early Torches Chest,Spirit Temple
Spirit Temple GS Metal Fence,Spirit Temple
Child Spirit Before Locked Door Nut Crate,Spirit Temple
Spirit Temple Child Climb North Chest,Spirit Temple
Spirit Temple Child Climb East Chest,Spirit Temple
Spirit Temple GS Sun on Floor Room,Spirit Temple
Spirit Temple Compass Chest,Spirit Temple
Spirit Temple Early Adult Right Chest,Spirit Temple
Spirit Temple First Mirror Left Chest,Spirit Temple
Spirit Temple First Mirror Right Chest,Spirit Temple
Spirit Temple GS Boulder Room,Spirit Temple
Spirit Temple Map Chest,Spirit Temple
Spirit Temple Sun Block Room Chest,Spirit Temple
Spirit Temple Statue Room Hand Chest,Spirit Temple
Spirit Temple Statue Room Northeast Chest,Spirit Temple
Spirit Temple GS Hall After Sun Block Room,Spirit Temple
Spirit Temple GS Lobby,Spirit Temple
Spirit Temple Silver Gauntlets Chest,Spirit Temple
Spirit Temple Mirror Shield Chest,Spirit Temple
Spirit Temple Near Four Armos Chest,Spirit Temple
Spirit Temple Hallway Left Invisible Chest,Spirit Temple
Spirit Temple Hallway Right Invisible Chest,Spirit Temple
Spirit Temple Boss Key Chest,Spirit Temple
Spirit Temple Topmost Chest,Spirit Temple
Spirit Temple Twinrova Heart,Spirit Temple
Twinrova,Spirit Temple
Ganons Castle Deku Scrub Center-Left,Ganon's Castle
Ganons Castle Deku Scrub Center-Right,Ganon's Castle
Ganons Castle Deku Scrub Right,Ganon's Castle
Ganons Castle Deku Scrub Left,Ganon's Castle
Ganons Castle Deku Scrubs Free Fairies,Ganon's Castle
Ganons Castle Forest Trial Chest,Ganon's Castle
Forest Trial Clear from Ganons Castle Forest Trial,Ganon's Castle
Fire Trial Clear from Ganons Castle Fire Trial,Ganon's Castle
Ganons Castle Water Trial Left Chest,Ganon's Castle
Ganons Castle Water Trial Right Chest,Ganon's Castle
Ganons Castle Water Trial Fairy Pot,Ganon's Castle
Ganons Castle Water Trial Blue Fire,Ganon's Castle
Water Trial Clear from Ganons Castle Water Trial,Ganon's Castle
Ganons Castle Shadow Trial Front Chest,Ganon's Castle
Ganons Castle Shadow Trial Golden Gauntlets Chest,Ganon's Castle
Shadow Trial Clear from Ganons Castle Shadow Trial,Ganon's Castle
Ganons Castle Spirit Trial Crystal Switch Chest,Ganon's Castle
Ganons Castle Spirit Trial Invisible Chest,Ganon's Castle
Ganons Castle Spirit Trial Nut Pot,Ganon's Castle
Spirit Trial Clear from Ganons Castle Spirit Trial,Ganon's Castle
Ganons Castle Light Trial First Left Chest,Ganon's Castle
Ganons Castle Light Trial Second Left Chest,Ganon's Castle
Ganons Castle Light Trial Third Left Chest,Ganon's Castle
Ganons Castle Light Trial First Right Chest,Ganon's Castle
Ganons Castle Light Trial Second Right Chest,Ganon's Castle
Ganons Castle Light Trial Third Right Chest,Ganon's Castle
Ganons Castle Light Trial Invisible Enemies Chest,Ganon's Castle
Ganons Castle Light Trial Lullaby Chest,Ganon's Castle
Light Trial Clear from Ganons Castle Light Trial,Ganon's Castle
